column_label	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
3	width	C. elegans Adult	C. elegans L1	20	20	400	6.1e-08	1.31e-07	****
3	width	C. elegans Adult	C. elegans L2	20	20	400	6.49e-08	1.31e-07	****
3	width	C. elegans Adult	C. elegans L3	20	20	400	6.05e-08	1.31e-07	****
3	width	C. elegans Adult	C. elegans L4	20	20	351.5	4.32e-05	5.54e-05	****
3	width	C. elegans Adult	C. inopinata Adult	20	20	89.5	0.003	0.003	**
3	width	C. elegans Adult	C. inopinata Dauer	20	20	397.5	9.51e-08	1.7e-07	****
3	width	C. elegans Adult	C. inopinata L1	20	20	400	6.18e-08	1.31e-07	****
3	width	C. elegans Adult	C. inopinata L2	20	20	400	6.64e-08	1.31e-07	****
3	width	C. elegans Adult	C. inopinata L3	20	20	396	1.2e-07	1.99e-07	****
3	width	C. elegans Adult	C. inopinata L4	20	20	318.5	0.001	0.002	**
3	width	C. elegans Adult	C. tropicalis Dauer	20	20	400	6.45e-08	1.31e-07	****
3	width	C. elegans Dauer	C. elegans L1	20	20	313.5	0.002	0.002	**
3	width	C. elegans Dauer	C. elegans L2	20	20	13.5	4.26e-07	6.49e-07	****
3	width	C. elegans Dauer	C. elegans L3	20	20	0	5.52e-08	1.31e-07	****
3	width	C. elegans Dauer	C. elegans L4	20	20	0	6.11e-08	1.31e-07	****
3	width	C. elegans Dauer	C. inopinata Adult	20	20	0	6.16e-08	1.31e-07	****
3	width	C. elegans Dauer	C. inopinata Dauer	20	20	4.5	1.17e-07	1.97e-07	****
3	width	C. elegans Dauer	C. inopinata L1	20	20	212.5	0.74	0.748	ns
3	width	C. elegans Dauer	C. inopinata L2	20	20	48	3.79e-05	4.93e-05	****
3	width	C. elegans Dauer	C. inopinata L3	20	20	0	6.07e-08	1.31e-07	****
3	width	C. elegans Dauer	C. inopinata L4	20	20	0	5.97e-08	1.31e-07	****
3	width	C. elegans Dauer	C. tropicalis Dauer	20	20	177.5	0.546	0.565	ns
3	width	C. elegans L1	C. elegans L2	20	20	0.5	6.33e-08	1.31e-07	****
3	width	C. elegans L1	C. elegans L3	20	20	0	5.47e-08	1.31e-07	****
3	width	C. elegans L1	C. elegans L4	20	20	0	6.05e-08	1.31e-07	****
3	width	C. elegans L1	C. inopinata Adult	20	20	0	6.1e-08	1.31e-07	****
3	width	C. elegans L1	C. inopinata Dauer	20	20	0	5.92e-08	1.31e-07	****
3	width	C. elegans L1	C. inopinata L1	20	20	89.5	0.002	0.003	**
3	width	C. elegans L1	C. inopinata L2	20	20	4	1.08e-07	1.85e-07	****
3	width	C. elegans L1	C. inopinata L3	20	20	0	6.01e-08	1.31e-07	****
3	width	C. elegans L1	C. inopinata L4	20	20	0	5.91e-08	1.31e-07	****
3	width	C. elegans L1	C. tropicalis Dauer	20	20	89.5	0.003	0.003	**
3	width	C. elegans L2	C. elegans L3	20	20	3	8.9e-08	1.62e-07	****
3	width	C. elegans L2	C. elegans L4	20	20	0	6.44e-08	1.31e-07	****
3	width	C. elegans L2	C. inopinata Adult	20	20	0	6.49e-08	1.31e-07	****
3	width	C. elegans L2	C. inopinata Dauer	20	20	105.5	0.011	0.012	*
3	width	C. elegans L2	C. inopinata L1	20	20	395	1.25e-07	2.03e-07	****
3	width	C. elegans L2	C. inopinata L2	20	20	246.5	0.211	0.226	ns
3	width	C. elegans L2	C. inopinata L3	20	20	1.5	8.02e-08	1.52e-07	****
3	width	C. elegans L2	C. inopinata L4	20	20	0	6.29e-08	1.31e-07	****
3	width	C. elegans L2	C. tropicalis Dauer	20	20	360	1.47e-05	2e-05	****
3	width	C. elegans L3	C. elegans L4	20	20	0	6e-08	1.31e-07	****
3	width	C. elegans L3	C. inopinata Adult	20	20	0	6.05e-08	1.31e-07	****
3	width	C. elegans L3	C. inopinata Dauer	20	20	318	0.001	0.002	**
3	width	C. elegans L3	C. inopinata L1	20	20	400	5.54e-08	1.31e-07	****
3	width	C. elegans L3	C. inopinata L2	20	20	363.5	9.44e-06	1.3e-05	****
3	width	C. elegans L3	C. inopinata L3	20	20	89	0.003	0.003	**
3	width	C. elegans L3	C. inopinata L4	20	20	0	5.86e-08	1.31e-07	****
3	width	C. elegans L3	C. tropicalis Dauer	20	20	400	5.78e-08	1.31e-07	****
3	width	C. elegans L4	C. inopinata Adult	20	20	1.5	8.36e-08	1.55e-07	****
3	width	C. elegans L4	C. inopinata Dauer	20	20	388	3.78e-07	5.93e-07	****
3	width	C. elegans L4	C. inopinata L1	20	20	400	6.13e-08	1.31e-07	****
3	width	C. elegans L4	C. inopinata L2	20	20	400	6.59e-08	1.31e-07	****
3	width	C. elegans L4	C. inopinata L3	20	20	358	1.94e-05	2.6e-05	****
3	width	C. elegans L4	C. inopinata L4	20	20	127.5	0.051	0.055	ns
3	width	C. elegans L4	C. tropicalis Dauer	20	20	400	6.39e-08	1.31e-07	****
3	width	C. inopinata Adult	C. inopinata Dauer	20	20	400	6.54e-08	1.31e-07	****
3	width	C. inopinata Adult	C. inopinata L1	20	20	400	6.18e-08	1.31e-07	****
3	width	C. inopinata Adult	C. inopinata L2	20	20	400	6.64e-08	1.31e-07	****
3	width	C. inopinata Adult	C. inopinata L3	20	20	400	6.64e-08	1.31e-07	****
3	width	C. inopinata Adult	C. inopinata L4	20	20	397	1.02e-07	1.78e-07	****
3	width	C. inopinata Adult	C. tropicalis Dauer	20	20	400	6.45e-08	1.31e-07	****
3	width	C. inopinata Dauer	C. inopinata L1	20	20	400	6e-08	1.31e-07	****
3	width	C. inopinata Dauer	C. inopinata L2	20	20	307.5	0.004	0.004	**
3	width	C. inopinata Dauer	C. inopinata L3	20	20	45	2.78e-05	3.67e-05	****
3	width	C. inopinata Dauer	C. inopinata L4	20	20	6	1.55e-07	2.47e-07	****
3	width	C. inopinata Dauer	C. tropicalis Dauer	20	20	379	1.26e-06	1.82e-06	****
3	width	C. inopinata L1	C. inopinata L2	20	20	29.5	3.67e-06	5.14e-06	****
3	width	C. inopinata L1	C. inopinata L3	20	20	0	6.09e-08	1.31e-07	****
3	width	C. inopinata L1	C. inopinata L4	20	20	0	5.99e-08	1.31e-07	****
3	width	C. inopinata L1	C. tropicalis Dauer	20	20	159.5	0.272	0.288	ns
3	width	C. inopinata L2	C. inopinata L3	20	20	15.5	6.23e-07	9.14e-07	****
3	width	C. inopinata L2	C. inopinata L4	20	20	0	6.44e-08	1.31e-07	****
3	width	C. inopinata L2	C. tropicalis Dauer	20	20	316.5	0.002	0.002	**
3	width	C. inopinata L3	C. inopinata L4	20	20	14	4.92e-07	7.34e-07	****
3	width	C. inopinata L3	C. tropicalis Dauer	20	20	399.5	6.85e-08	1.33e-07	****
3	width	C. inopinata L4	C. tropicalis Dauer	20	20	400	6.25e-08	1.31e-07	****
4	width	C. briggsae Dauer	C. elegans Adult	20	20	0	6.34e-08	1.26e-07	****
4	width	C. briggsae Dauer	C. elegans Dauer	20	20	198	0.967	0.978	ns
4	width	C. briggsae Dauer	C. elegans L1	20	20	257.5	0.117	0.122	ns
4	width	C. briggsae Dauer	C. elegans L2	20	20	27.5	2.62e-06	3.67e-06	****
4	width	C. briggsae Dauer	C. elegans L3	20	20	0	6.15e-08	1.26e-07	****
4	width	C. briggsae Dauer	C. elegans L4	20	20	0	6.4e-08	1.26e-07	****
4	width	C. briggsae Dauer	C. inopinata Adult	20	20	0	6.53e-08	1.26e-07	****
4	width	C. briggsae Dauer	C. inopinata Dauer	20	20	17	7.45e-07	1.15e-06	****
4	width	C. briggsae Dauer	C. inopinata L1	20	20	201.5	0.978	0.978	ns
4	width	C. briggsae Dauer	C. inopinata L2	20	20	59	0.000137	0.000173	***
